
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013848                       # Number of seconds simulated (Second)
simTicks                                  13848239000                       # Number of ticks simulated (Tick)
finalTick                                 13848239000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     78.42                       # Real time elapsed on the host (Second)
hostTickRate                                176594380                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     760836                       # Number of bytes of host memory used (Byte)
simInsts                                      1739523                       # Number of instructions simulated (Count)
simOps                                        3222885                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    22183                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41099                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         13848240                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.960941                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.125613                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3456047                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      999                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3574166                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    820                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               234155                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            401441                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 144                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9115764                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.392086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.030342                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7443681     81.66%     81.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    752818      8.26%     89.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    448237      4.92%     94.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    198092      2.17%     97.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    124223      1.36%     98.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     80088      0.88%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     52186      0.57%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     11362      0.12%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5077      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9115764                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9294     35.08%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     35.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.08% # attempts to use FU when none available (Count)
